Студент: Дмитрий         | Зачетка: 49498 | Балл: 29
Студент: Мария           | Зачетка: 58345 | Балл: 99
Студент: Дмитрий         | Зачетка: 28726 | Балл: 49
Студент: Елена           | Зачетка: 37685 | Балл: 44
Студент: Анна            | Зачетка: 65569 | Балл: 97
Студент: Алексей         | Зачетка: 21627 | Балл: 20
Студент: Иван            | Зачетка: 38006 | Балл: 65
Студент: Алексей         | Зачетка: 69216 | Балл: 85
Студент: Елена           | Зачетка: 46213 | Балл: 47
Студент: Мария           | Зачетка: 96195 | Балл: 65
Студент: Иван            | Зачетка: 25471 | Балл: 35
Студент: Мария           | Зачетка: 75646 | Балл: 93
Студент: Елена           | Зачетка: 11288 | Балл: 39
Студент: Анна            | Зачетка: 28617 | Балл: 78
Студент: Иван            | Зачетка: 52262 | Балл: 84
Студент: Елена           | Зачетка: 77674 | Балл: 16
Студент: Анна            | Зачетка: 97511 | Балл: 17
Студент: Мария           | Зачетка: 33184 | Балл: 97
Студент: Елена           | Зачетка: 38612 | Балл: 15
Студент: Мария           | Зачетка: 57754 | Балл: 33
Студент: Мария           | Зачетка: 23036 | Балл: 76
Студент: Иван            | Зачетка: 46669 | Балл: 33
Студент: Иван            | Зачетка: 18096 | Балл: 89
Студент: Дмитрий         | Зачетка: 12998 | Балл: 5
Студент: Алексей         | Зачетка: 36413 | Балл: 82
Студент: Елена           | Зачетка: 63136 | Балл: 99
Студент: Дмитрий         | Зачетка: 39938 | Балл: 70
Студент: Дмитрий         | Зачетка: 48028 | Балл: 1
Студент: Алексей         | Зачетка: 79913 | Балл: 64
Студент: Елена           | Зачетка: 47652 | Балл: 98
Студент: Алексей         | Зачетка: 72460 | Балл: 51
Студент: Иван            | Зачетка: 65958 | Балл: 40
Студент: Алексей         | Зачетка: 46504 | Балл: 50
Студент: Мария           | Зачетка: 39722 | Балл: 64
Студент: Елена           | Зачетка: 99230 | Балл: 5
Студент: Мария           | Зачетка: 63172 | Балл: 40
Студент: Анна            | Зачетка: 66486 | Балл: 89
Студент: Анна            | Зачетка: 59739 | Балл: 32
Студент: Анна            | Зачетка: 72909 | Балл: 25
Студент: Дмитрий         | Зачетка: 77662 | Балл: 72
Студент: Анна            | Зачетка: 51492 | Балл: 17
Студент: Анна            | Зачетка: 54210 | Балл: 93
Студент: Дмитрий         | Зачетка: 78408 | Балл: 28
Студент: Елена           | Зачетка: 27289 | Балл: 21
Студент: Иван            | Зачетка: 18164 | Балл: 68
Студент: Елена           | Зачетка: 34272 | Балл: 80
Студент: Иван            | Зачетка: 27040 | Балл: 94
Студент: Алексей         | Зачетка: 32595 | Балл: 72
Студент: Алексей         | Зачетка: 27639 | Балл: 12
Студент: Анна            | Зачетка: 78833 | Балл: 51
Студент: Алексей         | Зачетка: 65610 | Балл: 78
Студент: Анна            | Зачетка: 31921 | Балл: 9
Студент: Елена           | Зачетка: 40892 | Балл: 5
Студент: Алексей         | Зачетка: 60309 | Балл: 33
Студент: Мария           | Зачетка: 95996 | Балл: 77
Студент: Анна            | Зачетка: 35485 | Балл: 28
Студент: Мария           | Зачетка: 23295 | Балл: 24
Студент: Мария           | Зачетка: 91378 | Балл: 36
Студент: Алексей         | Зачетка: 99992 | Балл: 28
Студент: Анна            | Зачетка: 10661 | Балл: 40
Студент: Дмитрий         | Зачетка: 63923 | Балл: 47
Студент: Иван            | Зачетка: 77981 | Балл: 26
Студент: Анна            | Зачетка: 75793 | Балл: 9
Студент: Мария           | Зачетка: 63829 | Балл: 92
Студент: Дмитрий         | Зачетка: 32038 | Балл: 48
Студент: Мария           | Зачетка: 13696 | Балл: 4
Студент: Мария           | Зачетка: 27889 | Балл: 81
Студент: Иван            | Зачетка: 55150 | Балл: 10
Студент: Анна            | Зачетка: 14936 | Балл: 64
Студент: Мария           | Зачетка: 21053 | Балл: 19
Студент: Алексей         | Зачетка: 59771 | Балл: 29
Студент: Алексей         | Зачетка: 18232 | Балл: 79
Студент: Дмитрий         | Зачетка: 99888 | Балл: 57
Студент: Мария           | Зачетка: 50169 | Балл: 42
Студент: Елена           | Зачетка: 89851 | Балл: 46
Студент: Анна            | Зачетка: 17595 | Балл: 69
Студент: Алексей         | Зачетка: 39091 | Балл: 91
Студент: Анна            | Зачетка: 15485 | Балл: 38
Студент: Елена           | Зачетка: 59056 | Балл: 74
Студент: Иван            | Зачетка: 70387 | Балл: 8
Студент: Елена           | Зачетка: 85530 | Балл: 7
Студент: Мария           | Зачетка: 76415 | Балл: 11
Студент: Анна            | Зачетка: 86122 | Балл: 20
Студент: Анна            | Зачетка: 33433 | Балл: 5
Студент: Анна            | Зачетка: 72759 | Балл: 45
Студент: Иван            | Зачетка: 38949 | Балл: 68
Студент: Иван            | Зачетка: 26668 | Балл: 1
Студент: Елена           | Зачетка: 13670 | Балл: 61
Студент: Алексей         | Зачетка: 25387 | Балл: 88
Студент: Анна            | Зачетка: 39266 | Балл: 73
Студент: Мария           | Зачетка: 92392 | Балл: 99
Студент: Алексей         | Зачетка: 94522 | Балл: 41
Студент: Анна            | Зачетка: 68863 | Балл: 34
Студент: Иван            | Зачетка: 25938 | Балл: 75
Студент: Дмитрий         | Зачетка: 26219 | Балл: 50
Студент: Иван            | Зачетка: 85698 | Балл: 97
Студент: Алексей         | Зачетка: 78245 | Балл: 79
Студент: Анна            | Зачетка: 77271 | Балл: 22
Студент: Анна            | Зачетка: 79836 | Балл: 52
Студент: Иван            | Зачетка: 12495 | Балл: 100
Студент: Алексей         | Зачетка: 59763 | Балл: 62
Студент: Анна            | Зачетка: 37743 | Балл: 54
Студент: Елена           | Зачетка: 35405 | Балл: 28
Студент: Дмитрий         | Зачетка: 67131 | Балл: 5
Студент: Дмитрий         | Зачетка: 28500 | Балл: 50
Студент: Анна            | Зачетка: 73477 | Балл: 87
Студент: Анна            | Зачетка: 74118 | Балл: 87
Студент: Елена           | Зачетка: 97518 | Балл: 100
Студент: Иван            | Зачетка: 75459 | Балл: 69
Студент: Дмитрий         | Зачетка: 62620 | Балл: 19
Студент: Мария           | Зачетка: 28002 | Балл: 11
Студент: Дмитрий         | Зачетка: 91143 | Балл: 13
Студент: Мария           | Зачетка: 93740 | Балл: 24
Студент: Алексей         | Зачетка: 32595 | Балл: 82
Студент: Елена           | Зачетка: 81983 | Балл: 60
Студент: Иван            | Зачетка: 32158 | Балл: 21
Студент: Елена           | Зачетка: 47241 | Балл: 23
Студент: Анна            | Зачетка: 50715 | Балл: 98
Студент: Мария           | Зачетка: 88046 | Балл: 81
Студент: Алексей         | Зачетка: 57853 | Балл: 39
Студент: Алексей         | Зачетка: 26573 | Балл: 17
Студент: Анна            | Зачетка: 57100 | Балл: 16
Студент: Дмитрий         | Зачетка: 55085 | Балл: 85
Студент: Мария           | Зачетка: 13863 | Балл: 81
Студент: Иван            | Зачетка: 20089 | Балл: 7
Студент: Мария           | Зачетка: 36654 | Балл: 76
Студент: Мария           | Зачетка: 78820 | Балл: 3
Студент: Алексей         | Зачетка: 41608 | Балл: 45
Студент: Анна            | Зачетка: 85730 | Балл: 23
Студент: Дмитрий         | Зачетка: 53196 | Балл: 15
Студент: Анна            | Зачетка: 75851 | Балл: 78
Студент: Дмитрий         | Зачетка: 28563 | Балл: 3
Студент: Елена           | Зачетка: 65251 | Балл: 88
Студент: Елена           | Зачетка: 39275 | Балл: 33
Студент: Дмитрий         | Зачетка: 46047 | Балл: 14
Студент: Иван            | Зачетка: 88002 | Балл: 21
Студент: Алексей         | Зачетка: 45244 | Балл: 1
Студент: Мария           | Зачетка: 77888 | Балл: 70
Студент: Елена           | Зачетка: 45491 | Балл: 76
Студент: Мария           | Зачетка: 50000 | Балл: 72
Студент: Елена           | Зачетка: 22718 | Балл: 88
Студент: Анна            | Зачетка: 76040 | Балл: 92
Студент: Елена           | Зачетка: 52850 | Балл: 70
Студент: Дмитрий         | Зачетка: 33770 | Балл: 42
Студент: Анна            | Зачетка: 79689 | Балл: 54
Студент: Иван            | Зачетка: 46715 | Балл: 8
Студент: Иван            | Зачетка: 38055 | Балл: 60
Студент: Мария           | Зачетка: 69020 | Балл: 66
Студент: Алексей         | Зачетка: 32093 | Балл: 15
Студент: Иван            | Зачетка: 98960 | Балл: 10
Студент: Елена           | Зачетка: 16174 | Балл: 68
Студент: Елена           | Зачетка: 53904 | Балл: 3
Студент: Анна            | Зачетка: 66066 | Балл: 22
Студент: Алексей         | Зачетка: 12076 | Балл: 54
Студент: Алексей         | Зачетка: 68066 | Балл: 5
Студент: Иван            | Зачетка: 22360 | Балл: 67
Студент: Алексей         | Зачетка: 84972 | Балл: 59
Студент: Алексей         | Зачетка: 40158 | Балл: 98
Студент: Анна            | Зачетка: 63835 | Балл: 96
Студент: Алексей         | Зачетка: 39396 | Балл: 9
Студент: Алексей         | Зачетка: 81431 | Балл: 56
Студент: Алексей         | Зачетка: 16713 | Балл: 99
Студент: Алексей         | Зачетка: 86618 | Балл: 22
Студент: Алексей         | Зачетка: 74070 | Балл: 58
Студент: Дмитрий         | Зачетка: 20691 | Балл: 52
Студент: Иван            | Зачетка: 42765 | Балл: 33
Студент: Анна            | Зачетка: 92684 | Балл: 62
Студент: Алексей         | Зачетка: 13946 | Балл: 63
Студент: Мария           | Зачетка: 62852 | Балл: 93
Студент: Алексей         | Зачетка: 83448 | Балл: 65
Студент: Мария           | Зачетка: 52144 | Балл: 51
Студент: Иван            | Зачетка: 52139 | Балл: 1
Студент: Елена           | Зачетка: 28656 | Балл: 41
Студент: Мария           | Зачетка: 14959 | Балл: 31
Студент: Мария           | Зачетка: 36077 | Балл: 13
Студент: Дмитрий         | Зачетка: 63561 | Балл: 29
Студент: Мария           | Зачетка: 97518 | Балл: 4
Студент: Дмитрий         | Зачетка: 17329 | Балл: 14
Студент: Анна            | Зачетка: 27757 | Балл: 38
Студент: Елена           | Зачетка: 74287 | Балл: 12
Студент: Мария           | Зачетка: 64880 | Балл: 33
Студент: Дмитрий         | Зачетка: 92755 | Балл: 34
Студент: Алексей         | Зачетка: 98583 | Балл: 99
Студент: Мария           | Зачетка: 48152 | Балл: 61
Студент: Алексей         | Зачетка: 18341 | Балл: 32
Студент: Анна            | Зачетка: 36975 | Балл: 89
Студент: Алексей         | Зачетка: 17204 | Балл: 61
Студент: Дмитрий         | Зачетка: 26777 | Балл: 58
Студент: Дмитрий         | Зачетка: 92581 | Балл: 6
Студент: Иван            | Зачетка: 84349 | Балл: 74
Студент: Дмитрий         | Зачетка: 72825 | Балл: 77
Студент: Дмитрий         | Зачетка: 43665 | Балл: 61
Студент: Алексей         | Зачетка: 75922 | Балл: 87
Студент: Алексей         | Зачетка: 80972 | Балл: 67
Студент: Иван            | Зачетка: 66917 | Балл: 41
Студент: Мария           | Зачетка: 62692 | Балл: 67
Студент: Алексей         | Зачетка: 59375 | Балл: 57
Студент: Иван            | Зачетка: 71587 | Балл: 82
Студент: Мария           | Зачетка: 59600 | Балл: 13
Студент: Елена           | Зачетка: 68143 | Балл: 36
Студент: Мария           | Зачетка: 87400 | Балл: 52
Студент: Елена           | Зачетка: 58169 | Балл: 9
Студент: Елена           | Зачетка: 90887 | Балл: 74
Студент: Иван            | Зачетка: 64829 | Балл: 55
Студент: Анна            | Зачетка: 82679 | Балл: 36
Студент: Мария           | Зачетка: 25627 | Балл: 19
Студент: Елена           | Зачетка: 81183 | Балл: 10
Студент: Елена           | Зачетка: 81776 | Балл: 20
Студент: Мария           | Зачетка: 26182 | Балл: 76
Студент: Алексей         | Зачетка: 21220 | Балл: 16
Студент: Елена           | Зачетка: 35052 | Балл: 71
Студент: Иван            | Зачетка: 95907 | Балл: 17
Студент: Анна            | Зачетка: 60253 | Балл: 71
Студент: Мария           | Зачетка: 41999 | Балл: 95
Студент: Дмитрий         | Зачетка: 89029 | Балл: 60
Студент: Иван            | Зачетка: 32819 | Балл: 80
Студент: Анна            | Зачетка: 64674 | Балл: 7
Студент: Дмитрий         | Зачетка: 40384 | Балл: 83
Студент: Дмитрий         | Зачетка: 55536 | Балл: 97
Студент: Мария           | Зачетка: 47862 | Балл: 46
Студент: Елена           | Зачетка: 10064 | Балл: 13
Студент: Иван            | Зачетка: 31945 | Балл: 39
Студент: Иван            | Зачетка: 91965 | Балл: 34
Студент: Иван            | Зачетка: 98012 | Балл: 0
Студент: Иван            | Зачетка: 10493 | Балл: 58
Студент: Алексей         | Зачетка: 12353 | Балл: 57
Студент: Алексей         | Зачетка: 79944 | Балл: 12
Студент: Анна            | Зачетка: 92969 | Балл: 86
Студент: Мария           | Зачетка: 18709 | Балл: 68
Студент: Алексей         | Зачетка: 47959 | Балл: 69
Студент: Дмитрий         | Зачетка: 35383 | Балл: 5
Студент: Дмитрий         | Зачетка: 22076 | Балл: 36
Студент: Иван            | Зачетка: 42933 | Балл: 74
Студент: Иван            | Зачетка: 39517 | Балл: 5
Студент: Елена           | Зачетка: 68485 | Балл: 57
Студент: Мария           | Зачетка: 40465 | Балл: 82
Студент: Алексей         | Зачетка: 18301 | Балл: 56
Студент: Дмитрий         | Зачетка: 33273 | Балл: 52
Студент: Мария           | Зачетка: 17906 | Балл: 33
Студент: Дмитрий         | Зачетка: 99450 | Балл: 39
Студент: Алексей         | Зачетка: 34669 | Балл: 84
Студент: Иван            | Зачетка: 63037 | Балл: 52
Студент: Иван            | Зачетка: 56593 | Балл: 22
Студент: Дмитрий         | Зачетка: 72292 | Балл: 27
Студент: Елена           | Зачетка: 61218 | Балл: 82
Студент: Анна            | Зачетка: 24543 | Балл: 5
Студент: Анна            | Зачетка: 55541 | Балл: 30
Студент: Елена           | Зачетка: 91773 | Балл: 16
Студент: Елена           | Зачетка: 40933 | Балл: 20
Студент: Иван            | Зачетка: 64747 | Балл: 22
Студент: Алексей         | Зачетка: 40896 | Балл: 99
Студент: Иван            | Зачетка: 64891 | Балл: 36
Студент: Алексей         | Зачетка: 51080 | Балл: 70
Студент: Елена           | Зачетка: 95788 | Балл: 82
Студент: Алексей         | Зачетка: 40336 | Балл: 28
Студент: Анна            | Зачетка: 83952 | Балл: 53
Студент: Алексей         | Зачетка: 29638 | Балл: 80
Студент: Мария           | Зачетка: 52690 | Балл: 93
Студент: Мария           | Зачетка: 79935 | Балл: 32
Студент: Алексей         | Зачетка: 79281 | Балл: 78
Студент: Анна            | Зачетка: 57167 | Балл: 33
Студент: Дмитрий         | Зачетка: 46502 | Балл: 57
Студент: Анна            | Зачетка: 96206 | Балл: 94
Студент: Мария           | Зачетка: 80733 | Балл: 28
Студент: Мария           | Зачетка: 20613 | Балл: 28
Студент: Дмитрий         | Зачетка: 28226 | Балл: 44
Студент: Анна            | Зачетка: 17574 | Балл: 91
Студент: Алексей         | Зачетка: 13266 | Балл: 51
Студент: Анна            | Зачетка: 39486 | Балл: 67
Студент: Алексей         | Зачетка: 62565 | Балл: 73
Студент: Иван            | Зачетка: 13573 | Балл: 85
Студент: Алексей         | Зачетка: 30643 | Балл: 41
Студент: Иван            | Зачетка: 46159 | Балл: 76
Студент: Елена           | Зачетка: 28362 | Балл: 59
Студент: Алексей         | Зачетка: 55721 | Балл: 2
Студент: Мария           | Зачетка: 40558 | Балл: 3
Студент: Мария           | Зачетка: 97961 | Балл: 70
Студент: Мария           | Зачетка: 83616 | Балл: 42
Студент: Анна            | Зачетка: 66306 | Балл: 40
Студент: Мария           | Зачетка: 10338 | Балл: 46
Студент: Алексей         | Зачетка: 30746 | Балл: 83
Студент: Алексей         | Зачетка: 57020 | Балл: 66
Студент: Иван            | Зачетка: 50081 | Балл: 91
Студент: Анна            | Зачетка: 94612 | Балл: 79
Студент: Алексей         | Зачетка: 67418 | Балл: 95
Студент: Иван            | Зачетка: 55171 | Балл: 32
Студент: Дмитрий         | Зачетка: 10496 | Балл: 40
Студент: Дмитрий         | Зачетка: 74858 | Балл: 38
Студент: Мария           | Зачетка: 77785 | Балл: 54
Студент: Мария           | Зачетка: 21293 | Балл: 89
Студент: Анна            | Зачетка: 84790 | Балл: 82
Студент: Анна            | Зачетка: 86424 | Балл: 94
Студент: Мария           | Зачетка: 46842 | Балл: 89
Студент: Анна            | Зачетка: 71772 | Балл: 24
Студент: Иван            | Зачетка: 63329 | Балл: 55
Студент: Алексей         | Зачетка: 52575 | Балл: 51
Студент: Елена           | Зачетка: 34918 | Балл: 85
Студент: Анна            | Зачетка: 52035 | Балл: 29
Студент: Анна            | Зачетка: 88071 | Балл: 86
Студент: Мария           | Зачетка: 70638 | Балл: 85
Студент: Елена           | Зачетка: 26424 | Балл: 87
Студент: Иван            | Зачетка: 53578 | Балл: 59
Студент: Мария           | Зачетка: 86721 | Балл: 18
Студент: Елена           | Зачетка: 59784 | Балл: 78
Студент: Анна            | Зачетка: 23896 | Балл: 75
Студент: Анна            | Зачетка: 68342 | Балл: 91
Студент: Елена           | Зачетка: 15550 | Балл: 53
Студент: Мария           | Зачетка: 37453 | Балл: 46
Студент: Иван            | Зачетка: 49726 | Балл: 49
Студент: Анна            | Зачетка: 44414 | Балл: 17
Студент: Анна            | Зачетка: 78745 | Балл: 6
Студент: Дмитрий         | Зачетка: 37452 | Балл: 19
Студент: Елена           | Зачетка: 20205 | Балл: 47
Студент: Алексей         | Зачетка: 24448 | Балл: 45
Студент: Елена           | Зачетка: 94879 | Балл: 21
Студент: Дмитрий         | Зачетка: 33966 | Балл: 4
Студент: Мария           | Зачетка: 44418 | Балл: 44
Студент: Мария           | Зачетка: 69706 | Балл: 46
Студент: Дмитрий         | Зачетка: 60664 | Балл: 98
Студент: Елена           | Зачетка: 79429 | Балл: 38
Студент: Анна            | Зачетка: 34256 | Балл: 73
Студент: Дмитрий         | Зачетка: 23038 | Балл: 35
Студент: Иван            | Зачетка: 48888 | Балл: 91
Студент: Анна            | Зачетка: 46906 | Балл: 93
Студент: Иван            | Зачетка: 35537 | Балл: 73
Студент: Алексей         | Зачетка: 23109 | Балл: 0
Студент: Мария           | Зачетка: 41114 | Балл: 55
Студент: Елена           | Зачетка: 75534 | Балл: 50
Студент: Иван            | Зачетка: 81523 | Балл: 89
Студент: Алексей         | Зачетка: 98109 | Балл: 6
Студент: Анна            | Зачетка: 22369 | Балл: 15
Студент: Алексей         | Зачетка: 33488 | Балл: 27
Студент: Мария           | Зачетка: 92564 | Балл: 35
Студент: Дмитрий         | Зачетка: 84405 | Балл: 89
Студент: Мария           | Зачетка: 50388 | Балл: 6
Студент: Мария           | Зачетка: 49397 | Балл: 72
Студент: Мария           | Зачетка: 97764 | Балл: 63
Студент: Мария           | Зачетка: 93965 | Балл: 62
Студент: Елена           | Зачетка: 64173 | Балл: 95
Студент: Мария           | Зачетка: 88445 | Балл: 59
Студент: Дмитрий         | Зачетка: 66142 | Балл: 87
Студент: Алексей         | Зачетка: 70996 | Балл: 26
Студент: Алексей         | Зачетка: 74661 | Балл: 18
Студент: Алексей         | Зачетка: 63642 | Балл: 60
Студент: Анна            | Зачетка: 14427 | Балл: 21
Студент: Мария           | Зачетка: 32818 | Балл: 13
Студент: Мария           | Зачетка: 52742 | Балл: 29
Студент: Дмитрий         | Зачетка: 38963 | Балл: 46
Студент: Алексей         | Зачетка: 33099 | Балл: 73
Студент: Дмитрий         | Зачетка: 14333 | Балл: 73
Студент: Мария           | Зачетка: 48229 | Балл: 1
Студент: Мария           | Зачетка: 51934 | Балл: 13
Студент: Дмитрий         | Зачетка: 97896 | Балл: 74
Студент: Дмитрий         | Зачетка: 66255 | Балл: 82
Студент: Дмитрий         | Зачетка: 35907 | Балл: 78
Студент: Дмитрий         | Зачетка: 98195 | Балл: 81
Студент: Иван            | Зачетка: 50929 | Балл: 32
Студент: Иван            | Зачетка: 83469 | Балл: 43
Студент: Елена           | Зачетка: 41976 | Балл: 25
Студент: Алексей         | Зачетка: 97909 | Балл: 93
Студент: Анна            | Зачетка: 82360 | Балл: 54
Студент: Анна            | Зачетка: 86202 | Балл: 89
Студент: Анна            | Зачетка: 13331 | Балл: 95
Студент: Мария           | Зачетка: 90164 | Балл: 23
Студент: Алексей         | Зачетка: 68273 | Балл: 11
Студент: Елена           | Зачетка: 19394 | Балл: 75
Студент: Дмитрий         | Зачетка: 35914 | Балл: 53
Студент: Алексей         | Зачетка: 61925 | Балл: 40
Студент: Алексей         | Зачетка: 47168 | Балл: 40
Студент: Мария           | Зачетка: 69340 | Балл: 25
Студент: Мария           | Зачетка: 55170 | Балл: 62
Студент: Мария           | Зачетка: 56794 | Балл: 25
Студент: Анна            | Зачетка: 65109 | Балл: 6
Студент: Дмитрий         | Зачетка: 43296 | Балл: 10
Студент: Мария           | Зачетка: 19522 | Балл: 97
Студент: Иван            | Зачетка: 40262 | Балл: 92
Студент: Дмитрий         | Зачетка: 57406 | Балл: 54
Студент: Елена           | Зачетка: 95374 | Балл: 15
Студент: Алексей         | Зачетка: 52978 | Балл: 27
Студент: Дмитрий         | Зачетка: 37344 | Балл: 89
Студент: Алексей         | Зачетка: 50002 | Балл: 98
Студент: Елена           | Зачетка: 57159 | Балл: 99
Студент: Елена           | Зачетка: 81106 | Балл: 48
Студент: Мария           | Зачетка: 43744 | Балл: 75
Студент: Елена           | Зачетка: 89918 | Балл: 91
Студент: Алексей         | Зачетка: 26702 | Балл: 67
Студент: Мария           | Зачетка: 39937 | Балл: 90
Студент: Дмитрий         | Зачетка: 51744 | Балл: 96
Студент: Иван            | Зачетка: 85910 | Балл: 2
Студент: Алексей         | Зачетка: 10159 | Балл: 72
Студент: Алексей         | Зачетка: 31828 | Балл: 41
Студент: Анна            | Зачетка: 85169 | Балл: 87
Студент: Дмитрий         | Зачетка: 80481 | Балл: 10
Студент: Елена           | Зачетка: 84280 | Балл: 93
Студент: Елена           | Зачетка: 16872 | Балл: 46
Студент: Алексей         | Зачетка: 85829 | Балл: 88
Студент: Дмитрий         | Зачетка: 68441 | Балл: 46
Студент: Анна            | Зачетка: 26733 | Балл: 97
Студент: Елена           | Зачетка: 19102 | Балл: 42
Студент: Дмитрий         | Зачетка: 63829 | Балл: 25
Студент: Дмитрий         | Зачетка: 83670 | Балл: 57
Студент: Анна            | Зачетка: 82718 | Балл: 36
Студент: Дмитрий         | Зачетка: 49288 | Балл: 46
Студент: Елена           | Зачетка: 56193 | Балл: 15
Студент: Мария           | Зачетка: 22031 | Балл: 83
Студент: Иван            | Зачетка: 59836 | Балл: 48
Студент: Алексей         | Зачетка: 28637 | Балл: 5
Студент: Елена           | Зачетка: 56572 | Балл: 99
Студент: Дмитрий         | Зачетка: 83732 | Балл: 68
Студент: Алексей         | Зачетка: 58801 | Балл: 71
Студент: Мария           | Зачетка: 87582 | Балл: 26
Студент: Алексей         | Зачетка: 28337 | Балл: 48
Студент: Мария           | Зачетка: 80771 | Балл: 79
Студент: Дмитрий         | Зачетка: 73974 | Балл: 73
Студент: Дмитрий         | Зачетка: 40540 | Балл: 56
Студент: Анна            | Зачетка: 24472 | Балл: 10
Студент: Алексей         | Зачетка: 48301 | Балл: 44
Студент: Мария           | Зачетка: 89430 | Балл: 76
Студент: Елена           | Зачетка: 81199 | Балл: 8
Студент: Дмитрий         | Зачетка: 67499 | Балл: 75
Студент: Анна            | Зачетка: 63419 | Балл: 46
Студент: Алексей         | Зачетка: 57672 | Балл: 40
Студент: Иван            | Зачетка: 46124 | Балл: 72
Студент: Анна            | Зачетка: 23533 | Балл: 49
Студент: Иван            | Зачетка: 58443 | Балл: 35
Студент: Иван            | Зачетка: 17458 | Балл: 84
Студент: Мария           | Зачетка: 68284 | Балл: 22
Студент: Анна            | Зачетка: 22753 | Балл: 54
Студент: Иван            | Зачетка: 38601 | Балл: 55
Студент: Мария           | Зачетка: 38834 | Балл: 76
Студент: Мария           | Зачетка: 75148 | Балл: 69
Студент: Елена           | Зачетка: 93648 | Балл: 77
Студент: Дмитрий         | Зачетка: 89940 | Балл: 10
Студент: Анна            | Зачетка: 46527 | Балл: 95
Студент: Мария           | Зачетка: 20621 | Балл: 17
Студент: Алексей         | Зачетка: 67980 | Балл: 4
Студент: Иван            | Зачетка: 30199 | Балл: 95
Студент: Иван            | Зачетка: 88805 | Балл: 1
Студент: Анна            | Зачетка: 30289 | Балл: 5
Студент: Анна            | Зачетка: 44441 | Балл: 52
Студент: Алексей         | Зачетка: 72776 | Балл: 2
Студент: Мария           | Зачетка: 92438 | Балл: 15
Студент: Алексей         | Зачетка: 52184 | Балл: 49
Студент: Иван            | Зачетка: 23363 | Балл: 79
Студент: Алексей         | Зачетка: 26041 | Балл: 12
Студент: Алексей         | Зачетка: 60996 | Балл: 71
Студент: Елена           | Зачетка: 94462 | Балл: 23
Студент: Мария           | Зачетка: 30754 | Балл: 28
